Statistics for file : warandpeace.txt
Gathered using Word Counter program.


Most common word:  the | 31896
Number of words: 585573
Number of unique words: 28249
Number of letters:  199654
Average letters per word: 0.34

List sorted alphabetically

-                            4
01                           1
1                          351
10                          17
100                          1
10000                        1
100000                       1
101                          1
10-11                        1
10-12                        1
10-14                        1
102                          3
103                          1
104                          2
105                          1
106                          1
107                          1
109                          1
11                          11
11-14                        2
1-12                         1
113                          1
117                          1
119                          2
12                           8
1-2                          4
120                          1
121                          1
12-15                        1
12-17                        1
122                          2
123                          1
124                          1
125                          1
126                          2
127                          1
128                          2
129                          1
13                          12
1-3                          3
130                          2
131                          2
13-14                        2
133                          1
135                          1
136                          1
137                          2
138                          1
13-81                        1
139                          1
14                           8
1-4                          1
140                          3
141                          1
14-16                        1
14-17                        1
14-19                        1
142                          2
143                          1
144                          2
146                          1
147                          1
148                          1
1488                         1
149                          1
14i                          1
15                           9
1-5                          1
150                          2
15000                        1
150000                       1
15-16                        1
15-19                        1
153                          1
154                          1
155                          1
156                          1
16                          10
160                          1
161                          1
16-18                        1
162                          1
163                          1
164                          1
165                          2
167                          1
168                          1
169                          1
16nny                        1
16nsk                        2
16vski                       1
17                           9
1-7                          1
170                          1
171                          1
17-18                        1
173                          2
176                          2
177                          2
178                          1
1789                         3
179                          1
1796                         1
18                          12
180                          1
1805                        25
1805-6                       1
1806                         9
1806-07                      1
1807                        16
1808                         3
1808-10                      1
1809                        15
1809-10                      1
181                          1
1810                         2
1810-11                      1
1811                         6
1811-12                      1
1812                        54
1812-13                      1
1812-14                      1
1813                        11
1813-20                      1
1815                         1
1819                         1
18-19                        2
182                          1
1820                         4
1828                         1
18281910                     1
184                          1
1844                         1
1847                         1
185                          1
1851                         1
1855                         1
1857                         1
186                          1
1860                         1
1861                         1
1862                         1
1863                         1
1869                         2
187                          1
1875                         1
1877                         1
1879                         1
188                          1
1881                         2
189                          1
1896                         1
19                           8
190                          1
1901                         1
1904                         1
1910                         1
192                          1
193                          1
194                          1
195                          1
1952                         2
197                          1
198                          2
199                          1
1and                         1
1hat                         1
1lt4                         1
1myoung                      1
1O                           1
1OO                          1
2                           38
20                          10
201                          1
202                          1
20-21                        1
20-23                        1
203                          2
204                          2
205                          1
206                          3
207                          1
208                          2
209                          1
21                           7
210                          1
211                          2
212                          1
213                          1
214                          1
215                          1
216                          1
217                          2
218                          1
219                          1
22                           8
220                          2
221                          1
22-23                        1
223                          2
224                          1
225                          2
226                          1
227                          1
228                          1
229                          1
22nd                         1
23                           7
230                          2
231                          1
232                          1
234                          1
235                          1
237                          1
238                          1
24                          10
240                          1
242                          1
24-25                        1
243                          2
244                          1
245                          1
247                          2
248                          1
25                           8
250                          2
251                          2
252                          2
253                          1
254                          2
257                          1
25th                         1
26                           8
260                          2
261                          1
262                          1
26-27                        1
26-28                        1
263                          2
264                          1
265                          2
266                          1
267                          2
268                          1
269                          1
27                           4
270                          2
271                          2
27-29                        1
273                          2
275                          1
276                          1
277                          2
278                          2
279                          1
28                           5
28-                          1
280                          1
281                          2
282                          1
283                          1
284                          2
285                          1
286                          1
287                          2
288                          1
289                          1
29                           4
291                          2
292                          1
293                          1
294                          2
298                          1
2jth                         1
2l6                          1
2l8                          1
2O                           1
2OO                          1
2os                          1
2Q2                          1
2rd                          1
3                           30
30                           7
300                          1
30000                        1
301                          2
303                          1
30-32                        1
305                          1
306                          1
307                          1
309                          1
31                           3
310                          1
3-11                         1
313                          1
314                          1
316                          1
318                          1
319                          1
32                           1
320                          2
321                          2
322                          1
323                          1
324                          1
325                          2
327                          2
328                          1
329                          2
33                           5
332                          1
333                          2
33-34                        1
334                          2
335                          1
336                          2
337                          2
338                          1
339                          1
34                           7
3-4                          2
340                          1
341                          1
342                          1
343                          1
344                          2
345                          1
346                          2
347                          2
348                          1
349                          2
35                           6
350                          1
352                          1
353                          1
354                          2
355                          1
356                          1
357                          1
358                          1
359                          2
36                           3
361                          2
363                          2
364                          1
365                          2
366                          1
367                          1
368                          1
369                          1
37                           5
370                          1
372                          1
373                          2
374                          2
375                          1
376                          1
377                          2
378                          1
379                          2
38                           1
380                          1
381                          1
382                          2
383                          1
384                          1
385                          1
386                          1
387                          2
388                          1
389                          2
39                           4
391                          1
393                          2
394                          1
395                          2
396                          1
397                          1
398                          1
399                          2
3rd                          1
4                           23
40                           2
401                          1
403                          2
404                          1
405                          2
406                          2
407                          1
41                           1
410                          1
411                          1
412                          2
414                          1
415                          2
416                          1
417                          1
418                          1
419                          1
420                          1
421                          2
422                          1
423                          1
424                          2
425                          1
426                          2
428                          2
43                           4
430                          1
43000                        1
431                          1
432                          2
433                          1
434                          2
435                          1
436                          1
437                          1
438                          2
439                          2
44                           2
440                          2
441                          1
443                          1
444                          2
445                          2
446                          1
447                          2
448                          2
449                          1
45                           5
4-5                          1
450                          1
451                          1
453                          1
454                          1
455                          2
456                          2
457                          2
458                          1
459                          2
4-6                          1
460                          1
461                          2
462                          1
463                          1
464                          2
465                          2
466                          1
467                          2
469                          2
47                           6
470                          2
472                          1
473                          1
474                          1
475                          2
476                          2
477                          1
478                          1
479                          1
4-8                          2
480                          2
481                          1
482                          1
483                          1
485                          2
486                          1
487                          1
488                          1
489                          1
49                           4
491                          1
493                          1
494                          1
495                          1
496                          1
497                          2
498                          1
499                          2
49ltgt                       1
4g-                          1
4io                          1
4jiell                       1
4ltxgt                       1
4th                          1
4xi5j                        1
5                           30
50                           4
501                          1
502                          1
505                          1
507                          1
508                          1
51                           1
511                          1
513                          2
519                          1
521                          1
525                          1
526                          1
527                          2
529                          1
53                           4
531                          1
532                          1
533                          1
534                          1
535                          1
536                          1
537                          2
538                          1
54                           2
540                          1
543                          1
544                          1
545                          1
546                          1
547                          2
548                          1
549                          1
55                           7
553                          1
554                          1
555                          2
557                          1
559                          1
55ltgt                       1
56                           1
561                          1
563                          2
564                          1
565                          1
567                          2
568                          1
569                          1
57                           4
571                          1
574                          1
575                          2
576                          1
577                          1
578                          1
579                          1
57ltgt                       1
57S                          1
58                           2
581                          1
582                          2
583                          1
585                          1
586                          1
588                          1
589                          1
59                           4
5-9-                         1
590                          1
591                          1
593                          1
594                          1
595                          1
596                          1
597                          1
598                          1
599                          1
5S9                          1
6                           25
60                           1
60000                        1
601                          1
602                          1
603                          1
604                          2
605                          1
607                          1
609                          2
61                           1
611                          2
612                          1
614                          2
615                          1
617                          1
618                          1
619                          1
62                           1
620                          1
621                          2
622                          1
623                          1
624                          1
625                          1
626                          1
627                          1
629                          1
63                           2
6-3                          1
631                          2
633                          1
634                          1
635                          1
636                          1
637                          1
638                          1
639                          1
640                          1
641                          1
644                          1
645                          2
646                          1
647                          1
648                          2
649                          1
64S                          1
65                           1
650                          2
651                          1
652                          1
653                          1
654                          1
655                          1
657                          1
659                          1
66                           3
661                          1
662                          1
663                          1
664                          1
666                          8
667                          1
668                          1
669                          1
66o                          1
67                           2
6-7                          1
670                          1
671                          2
673                          1
674                          1
675                          2
676                          1
677                          1
678                          2
68                           3
6-8                          1
681                          1
682                          1
683                          1
684                          1
685                          1
686                          1
687                          1
688                          1
689                          1
68o                          1
69                           1
690                          1
691                          1
693                          1
694                          1
695                          1
696                          1
697                          2
698                          2
699                          2
6g                           1
6i6                          1
6i8                          1
6io                          1
6-me                         1
6o6                          1
6o8                          1
6oo                          1
6th                          2
7                           19
70                           1
700                          1
70000                        1
72                           1
73                           1
74                           3
75                           2
77                           1
7-8                          1
79                           2
797                          1
7th                          1
8                           34
80                           1
800                          2
80000                        1
809                          1
81                           2
8-10                         1
82                           1
83                           3
838                          1
84                           1
85                           1
86                           2
86th                         1
87                           2
88                           1
89                           1
8-9                          1
8c                           1
8o                           2
8th                          1
9                           23
9-                           1
90                           1
91                           1
9-13                         1
93                           1
94                           3
95                           1
96                           1
97                           2
99                           3
9th                          1
a                        10145
A                          484
a-                          13
Aah                          1
aak                          1
ab                           1
aB                           1
ab-                         16
aback                        3
abacus                       1
aban-                       12
abandon                     24
abandon-                     8
abandoned                   45
ABANDONED                    1
abandoning                  19
Abandoning                   1
abandonment                 11
abandons                     2
abashed                     12
Abashed                      1
abate                        2
abb                          5
Abb6                         1
abbe                         9
Abbe                         2
abbess                       1
abbl                         1
abbreviations                1
ABC                          2
abdicate                     1
abdomen                      2
abdomens                     1
abduc-                       1
abduct                       1
abduction                    2
abductors                    1
abhorrence                   1
ability                      7
ablaze                       2
able                       148
abled                        1
ableness                     1
ably                        12
abnegation                   1
abnormal                     1
abnormally                   1
abodes                       1
abominable                   7
abominably                   1
abounding                    1
about                      997
About                       16
above                      134
Above                        9
aboveboardl                  1
Abrdmovna                    1
abreast                      6
abroad                      31
Abroad                       1
abrupt                       6
abruptly                     9
absence                     43
absent                       4
absent-                      9
absentees                    1
absently                     5
